address,main_price,price_per_m2,area
"Свердловская область, Екатеринбург, р-н Кировский, мкр. ЖБИ, м. Динамо, Парк Каменные Палатки ЖК",4012470,96500,41.58
"Свердловская область, Екатеринбург, р-н Кировский, мкр. Втузгородок, м. Уральская, Теплые Кварталы ЖК",4075558,115750,35.21
"Свердловская область, Екатеринбург, р-н Кировский, мкр. Пионерский, м. Уральская, Основа ЖК",4070400,96000,42.4
"Свердловская область, Екатеринбург, р-н Кировский, мкр. Пионерский, м. Уральская, Основа ЖК",4203600,113000,37.2
"Свердловская область, Екатеринбург, р-н Кировский, мкр. Втузгородок, м. Площадь 1905 года",4297000,125277,34.3
"Свердловская область, Екатеринбург, р-н Кировский, мкр. Пионерский, м. Уральская, Основа ЖК",4318300,108500,39.8
"Свердловская область, Екатеринбург, р-н Кировский, мкр. Втузгородок, м. Площадь 1905 года",4321000,126716,34.1
"Свердловская область, Екатеринбург, р-н Кировский, мкр. Втузгородок, м. Геологическая, улица Мира, 47к2",4320000,133046,32.47
"Свердловская область, Екатеринбург, р-н Кировский, мкр. Втузгородок, м. Площадь 1905 года",4332000,127412,34.0
"Свердловская область, Екатеринбург, р-н Кировский, мкр. Втузгородок, м. Геологическая, улица Мира, 47к2",4430000,124718,35.52
"Свердловская область, Екатеринбург, р-н Кировский, мкр. ЖБИ, м. Динамо, Парк Каменные Палатки ЖК",4486475,108500,41.35
"Свердловская область, Екатеринбург, р-н Кировский, мкр. Втузгородок, м. Площадь 1905 года",4459000,83816,53.2
"Свердловская область, Екатеринбург, р-н Кировский, мкр. Втузгородок, м. Геологическая, улица Мира, 47к2",4480000,126126,35.52
"Свердловская область, Екатеринбург, р-н Кировский, мкр. Центр, м. Динамо, улица Шевченко, 20",8500000,108557,78.3
"Свердловская область, Екатеринбург, р-н Кировский, мкр. Втузгородок, м. Уральская, Теплые Кварталы ЖК",4452750,112500,39.58
"Свердловская область, Екатеринбург, р-н Кировский, мкр. Втузгородок, м. Уральская, Теплые Кварталы ЖК",4512445,114500,39.41
"Свердловская область, Екатеринбург, р-н Кировский, мкр. Втузгородок, м. Уральская, Теплые Кварталы ЖК",4542003,115250,39.41
"Свердловская область, Екатеринбург, р-н Кировский, мкр. Втузгородок, м. Уральская, Теплые Кварталы ЖК",4602703,109250,42.13
