address,main_price,price_per_m2,area
"Москва, САО, р-н Хорошевский, м. Аэропорт, проезд Аэропорта, 8",34500000,427509,80.7
"Москва, САО, р-н Аэропорт, м. Динамо, Ленинградский проспект, 36с30",34500000,286307,120.5
"Москва, САО, р-н Головинский, м. Водный стадион, Кронштадтский бульвар, к1/6",15323120,258400,59.3
"Москва, САО, р-н Хорошевский, м. Хорошевская, 1-я Магистральная улица, 25",16065310,261650,61.4
"Москва, САО, р-н Ховрино, м. Речной вокзал, Фестивальная улица, 24А",36000000,264706,136.0
"Москва, САО, р-н Западное Дегунино, м. Ховрино, Ижорская улица, 6С6",11555760,213600,54.1
"Москва, САО, р-н Западное Дегунино, м. Селигерская",13501920,276000,48.92
"Москва, САО, р-н Аэропорт, Ленинградский проспект, 36с39",25000000,465549,53.7
"Москва, САО, р-н Дмитровский, м. Улица 800-летия Москвы, Лобненская улица, 13к3",12089110,213400,56.65
"Москва, САО, р-н Хорошевский, м. ЦСКА, Ленинградский проспект, 37/3",42500000,461957,92.0
"Москва, САО, р-н Хорошевский, м. ЦСКА, проезд Березовой Рощи, 12",25500000,399687,63.8
"Москва, САО, р-н Беговой, м. Белорусская, Ленинградский проспект, 15С28",33000000,397112,83.1
"Москва, САО, р-н Беговой, м. Динамо, Ленинградский проспект, 29к1",39900000,466121,85.6
"Москва, САО, р-н Савеловский, м. Динамо, улица Верхняя Масловка, 20С1",73263599,523311,140.0
"Москва, САО, р-н Аэропорт, м. Сокол, Ленинградский проспект, 76К1",40000000,303030,132.0
"Москва, САО, р-н Беговой, м. Динамо, Ленинградский проспект, 29к4",30000000,409277,73.3
"Москва, САО, р-н Хорошевский, м. Аэропорт, проезд Аэропорта, 8",34500000,427509,80.7
"Москва, САО, р-н Хорошевский, м. Аэропорт, проезд Аэропорта, 8",34400000,426270,80.7
"Москва, САО, р-н Хорошевский, м. Аэропорт, Ленинградский проспект, 39С75",52000000,634146,82.0
"Москва, САО, р-н Беговой, м. Динамо, Ленинградский проспект, вл34",30645747,431023,71.1
"Москва, САО, р-н Беговой, м. Динамо, Ленинградский проспект, 29к2",24590000,463962,53.0
"Москва, САО, р-н Аэропорт, м. Гражданская, Кочновский проезд, 4к1",44500000,306263,145.3
"Москва, САО, р-н Западное Дегунино, м. Селигерская, Ильменский проезд, 14к5",12750000,354167,36.0
"Москва, САО, р-н Хорошевский, м. Беговая, Хорошевское шоссе",8005700,359000,22.3
"Москва, САО, р-н Беговой, м. Белорусская, Ленинградский проспект, 15С35",52000000,434419,119.7
"Москва, САО, р-н Беговой, м. Динамо, Ленинградский проспект, 29к3",34000000,320755,106.0
"Москва, САО, р-н Хорошевский, м. Аэропорт, Чапаевский переулок, 3",183158999,753741,243.0
"Москва, САО, р-н Беговой, м. Беговая, Беговая улица, 2",18000000,337079,53.4
"Москва, САО, р-н Беговой, м. Белорусская, Верхняя улица, 20к1",112000000,767123,146.0
"Москва, САО, р-н Беговой, м. Динамо, Ленинградский проспект, 31АС1",31000000,534483,58.0
"Москва, САО, р-н Тимирязевский, м. Лихоборы, 3-й Нижнелихоборский проезд, 1к1",12050750,253700,47.5
"Москва, САО, р-н Хорошевский, м. Зорге, улица Зорге, 9",18245400,324132,56.29
"Москва, САО, р-н Войковский, м. Водный стадион, Ленинградское шоссе, 37к1",75000000,336323,223.0
"Москва, САО, р-н Беговой, м. Динамо, Ленинградский проспект, 29к1",25800000,396923,65.0
"Москва, САО, р-н Хорошевский, м. Аэропорт, улица Викторенко, 11",27500000,404412,68.0
"Москва, САО, р-н Хорошевский, м. Аэропорт, Чапаевский переулок, 3",154345589,857475,180.0
"Москва, САО, р-н Западное Дегунино, м. Селигерская, Ильменский проезд, 17к4",11960610,284100,42.1
"Москва, САО, р-н Головинский, м. Водный стадион, Кронштадтский 14 ЖК, к1.1",12205470,291300,41.9
"Москва, САО, р-н Хорошевский, м. Аэропорт, Чапаевский переулок, 3",153853559,905021,170.0
"Москва, САО, р-н Войковский, м. Водный стадион, Ленинградское шоссе, 37к1",75000000,336323,223.0
"Москва, САО, р-н Хорошевский, м. Аэропорт, проезд Аэропорта, 8",34500000,425926,81.0
"Москва, САО, р-н Беговой, м. Динамо, Ленинградский проспект, 29к3",21000000,488372,43.0
"Москва, САО, р-н Аэропорт, м. Гражданская, Кочновский проезд, 4к1",34000000,361702,94.0
"Москва, САО, р-н Аэропорт, м. Гражданская, Кочновский проезд, 4к1",37700000,319492,118.0
"Москва, САО, р-н Хорошевский, м. Аэропорт, Чапаевский переулок, 3",153780296,854335,180.0
"Москва, САО, р-н Хорошевский, м. Хорошевская, 1-я Магистральная улица, 25",11095225,292750,37.9
"Москва, САО, р-н Хорошевский, м. Зорге, улица Зорге, 9к2",23138400,372000,62.2
"Москва, САО, р-н Западное Дегунино, м. Ховрино, Ижорская улица, 6С6",8317920,241800,34.4
"Москва, САО, р-н Дмитровский, м. Улица 800-летия Москвы, Лобненская улица, 13к3",10132932,229200,44.21
"Москва, САО, р-н Левобережный, м. Беломорская, Смольная улица, 33",14990000,236809,63.3
"Москва, САО, р-н Хорошевский, м. Аэропорт, Чапаевский переулок, 3",69999799,518517,135.0
"Москва, САО, р-н Хорошевский, м. Хорошевская, Хорошевское шоссе, 25Ак3",26500000,443886,59.7
"Москва, САО, р-н Хорошевский, м. Сокол, Чапаевский переулок, 3",70000000,518903,134.9
"Москва, САО, р-н Тимирязевский, м. Дмитровская, Дмитровское шоссе, 1А",12950000,454386,28.5
"Москва, САО, р-н Хорошевский, м. Аэропорт, Чапаевский переулок, 3",69999800,518517,135.0
"Москва, САО, р-н Беговой, м. Беговая, Беговая улица, 2",18000000,337079,53.4
"Москва, САО, р-н Западное Дегунино, м. Ховрино, Ижорская улица, 6С6",7370000,268000,27.5
"Москва, САО, р-н Тимирязевский, м. Тимирязевская, Тимирязевская улица, 13",14700000,294000,50.0
"Москва, САО, р-н Хорошевский, м. ЦСКА, улица Авиаконструктора Сухого, 2к1",24350000,424216,57.4
"Москва, САО, р-н Беговой, м. Динамо, Ленинградский проспект, 29к3",45000000,473684,95.0
"Москва, САО, р-н Савеловский, м. Гражданская, улица Юннатов, 4",37000000,337591,109.6
"Москва, САО, р-н Тимирязевский, м. Дмитровская, Тимирязевская улица, 13",14700000,294000,50.0
"Москва, САО, р-н Ховрино, м. Ховрино, Зеленоградская улица, 17",12100000,239130,50.6
"Москва, САО, р-н Головинский, м. Коптево, Солнечногорский проезд, 3К1",12000000,199336,60.2
"Москва, САО, р-н Левобережный, м. Беломорская, Смольная улица, 33",14990000,236809,63.3
"Москва, САО, р-н Беговой, м. Белорусская, Верхняя улица, 1",11800000,380645,31.0
"Москва, САО, р-н Ховрино, м. Ховрино, Зеленоградская улица, 17",12500000,216263,57.8
"Москва, САО, р-н Беговой, м. Динамо, Ленинградский проспект, вл34",39575330,447938,88.35
"Москва, САО, р-н Аэропорт, м. Динамо, Ленинградский проспект, 36с31",87600000,600000,146.0
"Москва, САО, р-н Беговой, м. Белорусская, Бумажный проезд, 4",37600000,400000,94.0
"Москва, САО, р-н Хорошевский, м. Аэропорт, Чапаевский переулок, 3",93997000,508092,185.0
"Москва, САО, р-н Западное Дегунино, м. Селигерская, Селигер Сити ЖК",9049600,320000,28.28
